searge,name,side,desc
func_200224_a,setCustomName,0,
func_200225_a,setCustomName,0,
func_200226_a,setCustomName,0,
func_200227_a,setCustomName,0,
func_200228_a,setCustomName,0,
func_148131_a,isSelectedItem,0,
func_148127_b,getItemCount,0,
func_148180_b,getEntry,0,
func_148139_c,getRowWidth,0,
func_148137_d,getScrollbarPosition,0,
func_148128_a,render,0,
func_148136_c,renderHoleBackground,0,(sic)
func_194998_a,getList,0,@deprecated Do it yourself, gone in 1.14+
func_195003_b,getIndex,0,@deprecated Do it yourself, gone in 1.14+
func_195001_c,getY,0,
func_195002_d,getX,0,
func_194999_a,render,0,
func_146280_a,init,0,
func_195120_Y_,shouldCloseOnEsc,0,
func_195074_b,children,0,
func_73863_a,render,0,
func_73866_w_,init,0,
func_73876_c,tick,0,
func_146281_b,removed,0,
func_146276_q_,renderBackground,0,
func_146270_b,renderBackground,0,
func_146278_c,renderDirtBackground,0,
func_189646_b,addButton,0,
func_73868_f,isPauseScreen,0,
func_175282_a,openLink,0,
func_146271_m,hasControlDown,0,
func_146272_n,hasShiftDown,0,
func_175283_s,hasAltDown,0,
func_175277_d,isCut,0,
func_175279_e,isCopy,0,
func_175280_f,isPaste,0,
func_175278_g,isSelectAll,0,
func_175273_b,resize,0,
func_195121_a,wrapScreenError,0,
func_73730_a,hLine,0,
func_73728_b,vLine,0,
func_73734_a,fill,0,
func_73733_a,fillGradient,0,
func_73732_a,drawCenteredString,0,
func_73731_b,drawString,0,
func_73729_b,blit,0,
func_175174_a,blit,0,
func_175175_a,blit,0,
func_146110_a,blit,0,
func_152125_a,blit,0,
func_194828_a,render,0,
func_146119_b,renderBg,0,
func_146113_a,playDownSound,0,
func_146114_a,getYImage,0,
func_146117_b,getWidth,0,
func_175211_a,setWidth,0,
func_146115_a,isHovered,0,
func_195608_a,render,0,
func_146206_l,isFocused,0,
func_152343_a,execute,0,
func_152344_a,execute,0,
func_152345_ab,isOnExecutionThread,0,
func_74782_a,put,0,
func_72964_e,getChunk,0,
func_175644_a,getEntities,0,
func_72933_a,rayTraceBlocks,0,
func_72923_a,onEntityAdded,0,
func_72838_d,spawnEntity,0,
func_73028_b,removeEntityFromWorld,0,
func_72786_a,track,0,
func_72791_a,track,0,
func_72785_a,track,0,
func_72790_b,untrack,0,
func_187252_a,setViewDistance,0,
func_72788_a,tick,0,
func_178782_a,getPos,0,
func_186025_d,getChunk,0,
func_201713_d,getChunkOrPrimer,0,
func_73156_b,tick,0,
func_179109_b,translatef,0,
func_179131_c,color4f,0,
func_179124_c,color3f,0,
func_179084_k,disableBlend,0,
func_179147_l,enableBlend,0,
func_179140_f,disableLighting,0,
func_179145_e,enableLighting,0,
func_179106_n,disableFog,0,
func_179127_m,enableFog,0,
func_179097_i,disableDepthTest,0,
func_179126_j,enableDepthTest,0,
func_179118_c,disableAlphaTest,0,
func_179141_d,enableAlphaTest,0,
func_179090_x,disableTexture,0,
func_179098_w,enableTexture,0,
func_179120_a,blendFuncSeparate,0,
func_179103_j,shadeModel,0,
func_174887_a_,getField,0,
func_174885_b,setField,0,
func_174890_g,getFieldCount,0,
func_196943_a,onBlockActivated,0,
func_72970_h,createChunkProvider,0,
func_202163_a,listArrayToTag,0,
func_75824_a,addChunkToPending,0,
func_201615_v,getHeightmaps,0,
func_201608_a,getHeightmap,0,
func_207512_c,getUsage,0,
func_202125_b,getName,0,
func_205363_a,write,0,
func_76662_d,getYLocation,0,
func_76661_k,getBlockLight,0,
func_76671_l,getSkyLight,0,
func_75816_a,saveChunk,0,
func_179869_a,isRegistered,0,
func_199009_a,addResourcePack,0,
func_76549_c,getChunkInputStream,0,
func_76550_a,createOrLoadRegionFile,0,
func_70934_b,getOffers,0,
func_70930_a,setOffers,0,
func_70946_n,getProfession,0,
func_184164_w,getPlayerChunkMap,0,
func_200713_a,byKey,0,
func_201760_c,getEntityClass,0,
func_76041_a,get,0,
func_76038_a,put,0,
func_76049_d,remove,0,
func_195953_a,loadMapData,0,
func_180611_e,getBeaconInventory,0,
func_154321_a,getProxy,0,
func_75800_d,flushCache,0,@deprecated Going away in 1.14
func_75818_b,flush,0,@deprecated Going away in 1.14
func_75759_a,flush,0,@deprecated Going away in 1.14
func_178779_a,getThreadedIOInstance,0,
func_75734_a,waitForFinish,0,
func_72694_a,isPlayerWatchingChunk,0,
func_76318_c,endStartSection,0,
func_180031_a,checkThreadAndEnqueue,0,
func_78471_a,renderWorld,0,Used by liteloader
func_175068_a,renderWorldPass,0,Used by liteloader
func_180437_a,renderCloudsCheck,0,Used by liteloader
func_179086_m,clear,0,Used by liteloader
func_72377_c,playerLoggedIn,0,Used by liteloader
func_180784_a,onBlockClicked,0,Used by liteloader
func_187251_a,processRightClickBlock,0,Used by liteloader